id;name;active;state_id;created_by
1;Afonso Cláudio;true;8;system
2;Água Doce do Norte;true;8;system
3;Águia Branca;true;8;system
4;Alegre;true;8;system
5;Alfredo Chaves;true;8;system
6;Alto Rio Novo;true;8;system
7;Anchieta;true;8;system
8;Apiacá;true;8;system
9;Aracruz;true;8;system
10;Atilio Vivacqua;true;8;system
11;Baixo Guandu;true;8;system
12;Barra de São Francisco;true;8;system
13;Boa Esperança;true;8;system
14;Bom Jesus do Norte;true;8;system
15;Brejetuba;true;8;system
16;Cachoeiro de Itapemirim;true;8;system
17;Cariacica;true;8;system
18;Castelo;true;8;system
19;Colatina;true;8;system
20;Conceição da Barra;true;8;system
21;Conceição do Castelo;true;8;system
22;Divino de São Lourenço;true;8;system
23;Domingos Martins;true;8;system
24;Dores do Rio Preto;true;8;system
25;Ecoporanga;true;8;system
26;Fundão;true;8;system
27;Governador Lindenberg;true;8;system
28;Guaçuí;true;8;system
29;Guarapari;true;8;system
30;Ibatiba;true;8;system
31;Ibiraçu;true;8;system
32;Ibitirama;true;8;system
33;Iconha;true;8;system
34;Irupi;true;8;system
35;Itaguaçu;true;8;system
36;Itapemirim;true;8;system
37;Itarana;true;8;system
38;Iúna;true;8;system
39;Jaguaré;true;8;system
40;Jerônimo Monteiro;true;8;system
41;João Neiva;true;8;system
42;Laranja da Terra;true;8;system
43;Linhares;true;8;system
44;Mantenópolis;true;8;system
45;Marataízes;true;8;system
46;Marechal Floriano;true;8;system
47;Marilândia;true;8;system
48;Mimoso do Sul;true;8;system
49;Montanha;true;8;system
50;Mucurici;true;8;system
51;Muniz Freire;true;8;system
52;Muqui;true;8;system
53;Nova Venécia;true;8;system
54;Pancas;true;8;system
55;Pedro Canário;true;8;system
56;Pinheiros;true;8;system
57;Piúma;true;8;system
58;Ponto Belo;true;8;system
59;Presidente Kennedy;true;8;system
60;Rio Bananal;true;8;system
61;Rio Novo do Sul;true;8;system
62;Santa Leopoldina;true;8;system
63;Santa Maria de Jetibá;true;8;system
64;Santa Teresa;true;8;system
65;São Domingos do Norte;true;8;system
66;São Gabriel da Palha;true;8;system
67;São José do Calçado;true;8;system
68;São Mateus;true;8;system
69;São Roque do Canaã;true;8;system
70;Serra;true;8;system
71;Sooretama;true;8;system
72;Vargem Alta;true;8;system
73;Venda Nova do Imigrante;true;8;system
74;Viana;true;8;system
75;Vila Pavão;true;8;system
76;Vila Valério;true;8;system
77;Vila Velha;true;8;system
78;Vitória;true;8;system
79;Acrelândia;true;1;system
80;Assis Brasil;true;1;system
81;Brasiléia;true;1;system
82;Bujari;true;1;system
83;Capixaba;true;1;system
84;Cruzeiro do Sul;true;1;system
85;Epitaciolândia;true;1;system
86;Feijó;true;1;system
87;Jordão;true;1;system
88;Mâncio Lima;true;1;system
89;Manoel Urbano;true;1;system
90;Marechal Thaumaturgo;true;1;system
91;Plácido de Castro;true;1;system
